dteday,season,yr,mnth,casual,registered,cnt,holiday,weekday
2012-07-09,fall,2012,7,998,5571,6569,0,1
2012-07-10,fall,2012,7,954,5336,6290,0,2
2012-07-11,fall,2012,7,975,6289,7264,0,3
2012-07-12,fall,2012,7,1032,6414,7446,0,4
2012-07-13,fall,2012,7,1511,5988,7499,0,5
2012-07-15,fall,2012,7,1920,4111,6031,0,0
2012-07-16,fall,2012,7,1088,5742,6830,0,1
2012-07-17,fall,2012,7,921,5865,6786,0,2
2012-07-18,fall,2012,7,799,4914,5713,0,3
2012-07-19,fall,2012,7,888,5703,6591,0,4
2012-07-20,fall,2012,7,747,5123,5870,0,5
2012-07-21,fall,2012,7,1264,3195,4459,0,6
2012-07-23,fall,2012,7,1135,5831,6966,0,1
2012-07-24,fall,2012,7,1140,6452,7592,0,2
2012-07-25,fall,2012,7,1383,6790,8173,0,3
2012-07-26,fall,2012,7,1036,5825,6861,0,4
2012-07-27,fall,2012,7,1259,5645,6904,0,5
2012-07-28,fall,2012,7,2234,4451,6685,0,6
2012-07-29,fall,2012,7,2153,4444,6597,0,0
2012-07-30,fall,2012,7,1040,6065,7105,0,1
2012-07-31,fall,2012,7,968,6248,7216,0,2
2012-08-01,fall,2012,8,1074,6506,7580,0,3
2012-08-02,fall,2012,8,983,6278,7261,0,4
2012-08-03,fall,2012,8,1328,5847,7175,0,5
2012-08-05,fall,2012,8,1707,3757,5464,0,0
2012-08-06,fall,2012,8,1233,5780,7013,0,1
2012-08-07,fall,2012,8,1278,5995,7273,0,2
2012-08-08,fall,2012,8,1263,6271,7534,0,3
2012-08-09,fall,2012,8,1196,6090,7286,0,4
2012-08-10,fall,2012,8,1065,4721,5786,0,5
2012-08-11,fall,2012,8,2247,4052,6299,0,6
2012-08-12,fall,2012,8,2182,4362,6544,0,0
2012-08-13,fall,2012,8,1207,5676,6883,0,1
2012-08-14,fall,2012,8,1128,5656,6784,0,2
2012-08-15,fall,2012,8,1198,6149,7347,0,3
2012-08-16,fall,2012,8,1338,6267,7605,0,4
2012-08-17,fall,2012,8,1483,5665,7148,0,5
2012-08-19,fall,2012,8,1208,3341,4549,0,0
2012-08-20,fall,2012,8,1026,5504,6530,0,1
2012-08-21,fall,2012,8,1081,5925,7006,0,2
2012-08-22,fall,2012,8,1094,6281,7375,0,3
2012-08-23,fall,2012,8,1363,6402,7765,0,4
2012-08-24,fall,2012,8,1325,6257,7582,0,5
2012-08-25,fall,2012,8,1829,4224,6053,0,6
2012-08-26,fall,2012,8,1483,3772,5255,0,0
2012-08-27,fall,2012,8,989,5928,6917,0,1
2012-08-28,fall,2012,8,935,6105,7040,0,2
2012-08-29,fall,2012,8,1177,6520,7697,0,3
2012-08-30,fall,2012,8,1172,6541,7713,0,4
2012-08-31,fall,2012,8,1433,5917,7350,0,5
2012-09-04,fall,2012,9,867,5997,6864,0,2
2012-09-05,fall,2012,9,832,6280,7112,0,3
2012-09-06,fall,2012,9,611,5592,6203,0,4
2012-09-07,fall,2012,9,1045,6459,7504,0,5
2012-09-08,fall,2012,9,1557,4419,5976,0,6
2012-09-10,fall,2012,9,1118,6407,7525,0,1
2012-09-11,fall,2012,9,1070,6697,7767,0,2
2012-09-12,fall,2012,9,1050,6820,7870,0,3
2012-09-13,fall,2012,9,1054,6750,7804,0,4
2012-09-14,fall,2012,9,1379,6630,8009,0,5
2012-09-16,fall,2012,9,2166,5167,7333,0,0
2012-09-17,fall,2012,9,1022,5847,6869,0,1
2012-09-18,fall,2012,9,371,3702,4073,0,2
2012-09-19,fall,2012,9,788,6803,7591,0,3
2012-09-20,fall,2012,9,939,6781,7720,0,4
2012-09-21,fall,2012,9,1250,6917,8167,0,5
2012-09-24,winter,2012,9,1001,6435,7436,0,1
2012-09-25,winter,2012,9,845,6693,7538,0,2
2012-09-26,winter,2012,9,787,6946,7733,0,3
2012-09-27,winter,2012,9,751,6642,7393,0,4
2012-09-28,winter,2012,9,1045,6370,7415,0,5
2012-09-30,winter,2012,9,2015,4874,6889,0,0
2012-10-01,winter,2012,10,763,6015,6778,0,1
2012-10-02,winter,2012,10,315,4324,4639,0,2
2012-10-03,winter,2012,10,728,6844,7572,0,3
2012-10-04,winter,2012,10,891,6437,7328,0,4
2012-10-05,winter,2012,10,1516,6640,8156,0,5
2012-10-07,winter,2012,10,781,2729,3510,0,0
2012-10-09,winter,2012,10,601,5791,6392,0,2
2012-10-10,winter,2012,10,780,6911,7691,0,3
2012-10-11,winter,2012,10,834,6736,7570,0,4
2012-10-12,winter,2012,10,1060,6222,7282,0,5
2012-10-13,winter,2012,10,2252,4857,7109,0,6
2012-10-14,winter,2012,10,2080,4559,6639,0,0
2012-10-15,winter,2012,10,760,5115,5875,0,1
2012-10-16,winter,2012,10,922,6612,7534,0,2
2012-10-17,winter,2012,10,979,6482,7461,0,3
2012-10-18,winter,2012,10,1008,6501,7509,0,4
2012-10-19,winter,2012,10,753,4671,5424,0,5
2012-10-21,winter,2012,10,2132,4692,6824,0,0
2012-10-22,winter,2012,10,830,6228,7058,0,1
2012-10-23,winter,2012,10,841,6625,7466,0,2
2012-10-24,winter,2012,10,795,6898,7693,0,3
2012-10-25,winter,2012,10,875,6484,7359,0,4
2012-10-26,winter,2012,10,1182,6262,7444,0,5
2012-10-28,winter,2012,10,998,3461,4459,0,0
2012-10-29,winter,2012,10,2,20,22,0,1
2012-10-30,winter,2012,10,87,1009,1096,0,2
2012-10-31,winter,2012,10,419,5147,5566,0,3
2012-11-01,winter,2012,11,466,5520,5986,0,4
2012-11-02,winter,2012,11,618,5229,5847,0,5
2012-11-03,winter,2012,11,1029,4109,5138,0,6
2012-11-04,winter,2012,11,1201,3906,5107,0,0
2012-11-05,winter,2012,11,378,4881,5259,0,1
2012-11-06,winter,2012,11,466,5220,5686,0,2
2012-11-07,winter,2012,11,326,4709,5035,0,3
2012-11-08,winter,2012,11,340,4975,5315,0,4
2012-11-09,winter,2012,11,709,5283,5992,0,5
2012-11-10,winter,2012,11,2090,4446,6536,0,6
2012-11-13,winter,2012,11,327,3767,4094,0,2
2012-11-14,winter,2012,11,373,5122,5495,0,3
2012-11-15,winter,2012,11,320,5125,5445,0,4
2012-11-16,winter,2012,11,484,5214,5698,0,5
2012-11-17,winter,2012,11,1313,4316,5629,0,6
2012-11-18,winter,2012,11,922,3747,4669,0,0
2012-11-19,winter,2012,11,449,5050,5499,0,1
2012-11-20,winter,2012,11,534,5100,5634,0,2
2012-11-21,winter,2012,11,615,4531,5146,0,3
2012-11-23,winter,2012,11,1603,2307,3910,0,5
2012-11-24,winter,2012,11,532,1745,2277,0,6
2012-11-25,winter,2012,11,309,2115,2424,0,0
2012-11-26,winter,2012,11,337,4750,5087,0,1
2012-11-27,winter,2012,11,123,3836,3959,0,2
2012-11-28,winter,2012,11,198,5062,5260,0,3
2012-11-29,winter,2012,11,243,5080,5323,0,4
2012-11-30,winter,2012,11,362,5306,5668,0,5
2012-12-01,winter,2012,12,951,4240,5191,0,6
2012-12-02,winter,2012,12,892,3757,4649,0,0
2012-12-03,winter,2012,12,555,5679,6234,0,1
2012-12-04,winter,2012,12,551,6055,6606,0,2
2012-12-05,winter,2012,12,331,5398,5729,0,3
2012-12-06,winter,2012,12,340,5035,5375,0,4
2012-12-07,winter,2012,12,349,4659,5008,0,5
2012-12-08,winter,2012,12,1153,4429,5582,0,6
2012-12-09,winter,2012,12,441,2787,3228,0,0
2012-12-10,winter,2012,12,329,4841,5170,0,1
2012-12-11,winter,2012,12,282,5219,5501,0,2
2012-12-12,winter,2012,12,310,5009,5319,0,3
2012-12-13,winter,2012,12,425,5107,5532,0,4
2012-12-14,winter,2012,12,429,5182,5611,0,5
2012-12-15,winter,2012,12,767,4280,5047,0,6
2012-12-16,winter,2012,12,538,3248,3786,0,0
2012-12-17,winter,2012,12,212,4373,4585,0,1
2012-12-18,winter,2012,12,433,5124,5557,0,2
2012-12-19,winter,2012,12,333,4934,5267,0,3
2012-12-20,winter,2012,12,314,3814,4128,0,4
2012-12-21,spring,2012,12,221,3402,3623,0,5
2012-12-22,spring,2012,12,205,1544,1749,0,6
2012-12-23,spring,2012,12,408,1379,1787,0,0
2012-12-24,spring,2012,12,174,746,920,0,1
2012-12-26,spring,2012,12,9,432,441,0,3
2012-12-27,spring,2012,12,247,1867,2114,0,4
2012-12-28,spring,2012,12,644,2451,3095,0,5
2012-12-29,spring,2012,12,159,1182,1341,0,6
2012-12-30,spring,2012,12,364,1432,1796,0,0
2012-12-31,spring,2012,12,439,2290,2729,0,1
